"","mean_temp","year","month"
"AFG",-2.6856,1960,1
"AGO",22.8974603174603,1960,1
"ARE",NA,1960,1
"ARG",22.3104287369641,1960,1
"AZE",2.90588235294118,1960,1
"BDI",18.9111111111111,1960,1
"BEN",26.6272727272727,1960,1
"BFA",25.2904761904762,1960,1
"BGD",18.3725,1960,1
"BLZ",22.98,1960,1
"BOL",21.5412244897959,1960,1
"BRA",24.6858503401361,1960,1
"BTN",-1.87142857142857,1960,1
"BWA",26.0702290076336,1960,1
"CAF",24.7980392156863,1960,1
"CHL",13.8206451612903,1960,1
"CHN",-5.58499324019829,1960,1
"CMR",24.0736111111111,1960,1
"COD",23.0111111111111,1960,1
"COG",24.7351851851852,1960,1
"COL",23.9336,1960,1
"CRI",22.4230769230769,1960,1
"CUB",22.3457142857143,1960,1
"DJI",NA,1960,1
"DOM",21.72,1960,1
"DZA",7.77936507936508,1960,1
"ECU",21.244776119403,1960,1
"EGY",12.5333333333333,1960,1
"ERI",21.75,1960,1
"ETH",18.5225274725275,1960,1
"GAB",25.1739130434783,1960,1
"GHA",26.5966101694915,1960,1
"GIN",23.6838235294118,1960,1
"GMB",23.1333333333333,1960,1
"GNB",24.3222222222222,1960,1
"GTM",20.6636363636364,1960,1
"GUY",24.4918918918919,1960,1
"HND",22.6,1960,1
"HTI",22.5,1960,1
"IDN",25.0100985221675,1960,1
"IND",17.6320162107396,1960,1
"IRN",2.8536170212766,1960,1
"IRQ",8.48163265306122,1960,1
"JAM",23.2,1960,1
"JOR",8.86,1960,1
"JPN",-1.22262773722628,1960,1
"KAZ",-11.7728723404255,1960,1
"KEN",23.594,1960,1
"KGZ",-10.7076923076923,1960,1
"KHM",24.9142857142857,1960,1
"KOR",-3.42820512820513,1960,1
"LAO",18.4029411764706,1960,1
"LBN",6.1,1960,1
"LBR",25.2275862068966,1960,1
"LKA",25.4090909090909,1960,1
"LSO",16.425,1960,1
"MAR",9.69420289855072,1960,1
"MDG",24.5980769230769,1960,1
"MEX",17.1006993006993,1960,1
"MLI",23.9028037383178,1960,1
"MMR",17.8084656084656,1960,1
"MNG",-23.0144,1960,1
"MOZ",25.1726530612245,1960,1
"MRT",22.7857142857143,1960,1
"MWI",22.6384615384615,1960,1
"MYS",24.6976744186047,1960,1
"NAM",24.7752212389381,1960,1
"NER",22.0333333333333,1960,1
"NGA",24.2733905579399,1960,1
"NIC",24.4592592592593,1960,1
"NPL",7.91914893617021,1960,1
"OMN",20.2333333333333,1960,1
"PAK",11.1,1960,1
"PAN",25,1960,1
"PER",18.103861003861,1960,1
"PHL",24.1517647058824,1960,1
"PNG",21.8189189189189,1960,1
"PRY",28.4439252336449,1960,1
"QAT",NA,1960,1
"RWA",19.6375,1960,1
"SAU",16.3,1960,1
"SDN",23.968253968254,1960,1
"SEN",24.3952380952381,1960,1
"SLE",25.0791666666667,1960,1
"SLV",22.5,1960,1
"SOM",27.2260869565217,1960,1
"SUR",25.5263157894737,1960,1
"SWZ",22.88,1960,1
"SYR",7.436,1960,1
"TCD",23.9457627118644,1960,1
"TGO",25.9529411764706,1960,1
"THA",23.5018867924528,1960,1
"TJK",-2.20714285714286,1960,1
"TKM",4.59428571428571,1960,1
"TTO",24.7,1960,1
"TUN",9.445,1960,1
"TUR",1.60897435897436,1960,1
"TZA",23.2119402985075,1960,1
"UGA",23.0372549019608,1960,1
"URY",24.3983333333333,1960,1
"VEN",24.2481481481481,1960,1
"VNM",18.5577981651376,1960,1
"YEM",18.0692307692308,1960,1
"ZAF",21.7388704318937,1960,1
"ZMB",22.2957805907173,1960,1
"ZWE",23.1536585365854,1960,1
"AFG1",2.3792,1960,2
"AGO1",22.3584126984127,1960,2
"ARE1",NA,1960,2
"ARG1",21.6909617612978,1960,2
"AZE1",2.62941176470588,1960,2
"BDI1",18.8,1960,2
"BEN1",28.3181818181818,1960,2
"BFA1",27.7587301587302,1960,2
"BGD1",22.5475,1960,2
"BLZ1",23.26,1960,2
"BOL1",21.3628571428571,1960,2
"BRA1",24.4995011337868,1960,2
"BTN1",2.25714285714286,1960,2
"BWA1",24.8618320610687,1960,2
"CAF1",26.3901960784314,1960,2
"CHL1",13.3251612903226,1960,2
"CHN1",-0.105858494817485,1960,2
"CMR1",25.1027777777778,1960,2
"COD1",22.9754521963824,1960,2
"COG1",24.837037037037,1960,2
"COL1",24.2916,1960,2
"CRI1",22.9846153846154,1960,2
"CUB1",23.0742857142857,1960,2
"DJI1",NA,1960,2
"DOM1",22.44,1960,2
"DZA1",11.1539682539683,1960,2
"ECU1",21.3850746268657,1960,2
"EGY1",14.3454545454545,1960,2
"ERI1",23.7375,1960,2
"ETH1",19.9967032967033,1960,2
"GAB1",24.9282608695652,1960,2
"GHA1",28.3372881355932,1960,2
"GIN1",25.8102941176471,1960,2
"GMB1",26.4666666666667,1960,2
"GNB1",26.0555555555556,1960,2
"GTM1",20.8333333333333,1960,2
"GUY1",24.527027027027,1960,2
"HND1",23.8551724137931,1960,2
"HTI1",22.825,1960,2
"IDN1",24.9332512315271,1960,2
"IND1",21.4717325227964,1960,2
"IRN1",4.77574468085106,1960,2
"IRQ1",11.5918367346939,1960,2
"JAM1",23.5,1960,2
"JOR1",11.02,1960,2
"JPN1",1.14963503649635,1960,2
"KAZ1",-11.1679787234043,1960,2
"KEN1",24.109,1960,2
"KGZ1",-5.93538461538462,1960,2
"KHM1",25.8821428571429,1960,2
"KOR1",0.933333333333333,1960,2
"LAO1",19.8529411764706,1960,2
"LBN1",7.1,1960,2
"LBR1",26.4068965517241,1960,2
"LKA1",25.3636363636364,1960,2
"LSO1",16.475,1960,2
"MAR1",12.1927536231884,1960,2
"MDG1",24.6839743589744,1960,2
"MEX1",16.5821678321678,1960,2
"MLI1",27.3084112149533,1960,2
"MMR1",19.6513227513228,1960,2
"MNG1",-14.954,1960,2
"MOZ1",25.3216326530612,1960,2
"MRT1",27.0142857142857,1960,2
"MWI1",22.5615384615385,1960,2
"MYS1",24.7627906976744,1960,2
"NAM1",23.016814159292,1960,2
"NER1",24.6566666666667,1960,2
"NGA1",26.2077253218884,1960,2
"NIC1",25.1777777777778,1960,2
"NPL1",12.7893617021277,1960,2
"OMN1",21.8666666666667,1960,2
"PAK1",16.6207142857143,1960,2
"PAN1",25.345,1960,2
"PER1",18.0675675675676,1960,2
"PHL1",24.1623529411765,1960,2
"PNG1",21.7189189189189,1960,2
"PRY1",26.6700934579439,1960,2
"QAT1",NA,1960,2
"RWA1",19.45,1960,2
"SAU1",18.9666666666667,1960,2
"SDN1",26.6289682539683,1960,2
"SEN1",27.6952380952381,1960,2
"SLE1",26.7625,1960,2
"SLV1",22.6142857142857,1960,2
"SOM1",27.3652173913043,1960,2
"SUR1",25.4052631578947,1960,2
"SWZ1",22.88,1960,2
"SYR1",8.98,1960,2
"TCD1",26.5762711864407,1960,2
"TGO1",27.4529411764706,1960,2
"THA1",24.725786163522,1960,2
"TJK1",2.02857142857143,1960,2
"TKM1",7.41714285714286,1960,2
"TTO1",25.05,1960,2
"TUN1",12.025,1960,2
"TUR1",1.30288461538462,1960,2
"TZA1",23.3462686567164,1960,2
"UGA1",23.0960784313726,1960,2
"URY1",24.6583333333333,1960,2
"VEN1",24.9703703703704,1960,2
"VNM1",19.3376146788991,1960,2
"YEM1",19.7769230769231,1960,2
"ZAF1",21.7920265780731,1960,2
"ZMB1",21.9295358649789,1960,2
"ZWE1",22.909756097561,1960,2
"AFG2",1.124,1960,3
"AGO2",22.2193650793651,1960,3
"ARE2",NA,1960,3
"ARG2",18.230359212051,1960,3
"AZE2",1.58823529411765,1960,3
"BDI2",18.2111111111111,1960,3
"BEN2",29.0727272727273,1960,3
"BFA2",29.9396825396825,1960,3
"BGD2",24.375,1960,3
"BLZ2",24.24,1960,3
"BOL2",20.9816326530612,1960,3
"BRA2",24.3582766439909,1960,3
"BTN2",3.12857142857143,1960,3
"BWA2",24.2618320610687,1960,3
"CAF2",27.5235294117647,1960,3
"CHL2",11.2954838709677,1960,3
"CHN2",4.3383055430374,1960,3
"CMR2",26.1,1960,3
"COD2",22.9142118863049,1960,3
"COG2",25.3,1960,3
"COL2",24.2968,1960,3
"CRI2",22.7769230769231,1960,3
"CUB2",23.1714285714286,1960,3
"DJI2",NA,1960,3
"DOM2",22.5,1960,3
"DZA2",11.9095238095238,1960,3
"ECU2",21.3253731343284,1960,3
"EGY2",17.4060606060606,1960,3
"ERI2",23.6,1960,3
"ETH2",20.3302197802198,1960,3
"GAB2",25.5173913043478,1960,3
"GHA2",28.4237288135593,1960,3
"GIN2",26.0808823529412,1960,3
"GMB2",26.5333333333333,1960,3
"GNB2",26.9888888888889,1960,3
"GTM2",21.7151515151515,1960,3
"GUY2",24.8810810810811,1960,3
"HND2",24.351724137931,1960,3
"HTI2",23,1960,3
"IDN2",25.2889162561576,1960,3
"IND2",23.6725430597771,1960,3
"IRN2",3.33829787234043,1960,3
"IRQ2",12.8081632653061,1960,3
"JAM2",23.7,1960,3
"JOR2",12.52,1960,3
"JPN2",4.27299270072993,1960,3
"KAZ2",-12.0660638297872,1960,3
"KEN2",23.853,1960,3
"KGZ2",-5.65692307692308,1960,3
"KHM2",28.4410714285714,1960,3
"KOR2",5.89230769230769,1960,3
"LAO2",24.1926470588235,1960,3
"LBN2",7.96666666666667,1960,3
"LBR2",25.9689655172414,1960,3
"LKA2",26.6954545454545,1960,3
"LSO2",14.9333333333333,1960,3
"MAR2",13.4623188405797,1960,3
"MDG2",23.8512820512821,1960,3
"MEX2",19.5325174825175,1960,3
"MLI2",28.6383177570093,1960,3
"MMR2",22.2132275132275,1960,3
"MNG2",-8.5156,1960,3
"MOZ2",24.5338775510204,1960,3
"MRT2",26.4571428571429,1960,3
"MWI2",21.7615384615385,1960,3
"MYS2",25.3848837209302,1960,3
"NAM2",22.6814159292035,1960,3
"NER2",28.61,1960,3
"NGA2",28.2587982832618,1960,3
"NIC2",25.3962962962963,1960,3
"NPL2",13.2489361702128,1960,3
"OMN2",23.6,1960,3
"PAK2",17.5307142857143,1960,3
"PAN2",25.615,1960,3
"PER2",18.0127413127413,1960,3
"PHL2",25.1564705882353,1960,3
"PNG2",21.3162162162162,1960,3
"PRY2",25.9514018691589,1960,3
"QAT2",NA,1960,3
"RWA2",18.9875,1960,3
"SAU2",20.1,1960,3
"SDN2",27.6980158730159,1960,3
"SEN2",27.602380952381,1960,3
"SLE2",27.2708333333333,1960,3
"SLV2",23.7285714285714,1960,3
"SOM2",27.7521739130435,1960,3
"SUR2",25.8210526315789,1960,3
"SWZ2",22.46,1960,3
"SYR2",10.952,1960,3
"TCD2",29.7474576271186,1960,3
"TGO2",27.7529411764706,1960,3
"THA2",27.8729559748428,1960,3
"TJK2",0.378571428571429,1960,3
"TKM2",4.09714285714286,1960,3
"TTO2",25.6,1960,3
"TUN2",13.165,1960,3
"TUR2",4.42916666666667,1960,3
"TZA2",23.0033582089552,1960,3
"UGA2",22.2549019607843,1960,3
"URY2",21.995,1960,3
"VEN2",25.4524691358025,1960,3
"VNM2",23.1018348623853,1960,3
"YEM2",21.7076923076923,1960,3
"ZAF2",20.3913621262458,1960,3
"ZMB2",21.373417721519,1960,3
"ZWE2",22.3691056910569,1960,3
"AFG3",8.1632,1960,4
"AGO3",22.1838095238095,1960,4
"ARE3",NA,1960,4
"ARG3",14.6178447276941,1960,4
"AZE3",8.97352941176471,1960,4
"BDI3",18.6222222222222,1960,4
"BEN3",28.6030303030303,1960,4
"BFA3",31.4825396825397,1960,4
"BGD3",30.0575,1960,4
"BLZ3",26.2,1960,4
"BOL3",19.3040816326531,1960,4
"BRA3",23.5321995464853,1960,4
"BTN3",8.5,1960,4
"BWA3",21.475572519084,1960,4
"CAF3",27.4274509803922,1960,4
"CHL3",9.07096774193548,1960,4
"CHN3",9.33168093735917,1960,4
"CMR3",25.6097222222222,1960,4
"COD3",23.2142118863049,1960,4
"COG3",25.4,1960,4
"COL3",24.1064,1960,4
"CRI3",23.8,1960,4
"CUB3",25.1742857142857,1960,4
"DJI3",NA,1960,4
"DOM3",23.4,1960,4
"DZA3",13.0285714285714,1960,4
"ECU3",21.5477611940298,1960,4
"EGY3",21.8121212121212,1960,4
"ERI3",27.5625,1960,4
"ETH3",21.2230769230769,1960,4
"GAB3",25.3239130434783,1960,4
"GHA3",27.9084745762712,1960,4
"GIN3",27.5558823529412,1960,4
"GMB3",28.2333333333333,1960,4
"GNB3",28.1333333333333,1960,4
"GTM3",23.2212121212121,1960,4
"GUY3",24.8675675675676,1960,4
"HND3",25.5448275862069,1960,4
"HTI3",23.4625,1960,4
"IDN3",25.565763546798,1960,4
"IND3",28.2,1960,4
"IRN3",9.80978723404255,1960,4
"IRQ3",18.8367346938776,1960,4
"JAM3",24.6,1960,4
"JOR3",16.48,1960,4
"JPN3",8.40583941605839,1960,4
"KAZ3",5.05659574468085,1960,4
"KEN3",23.212,1960,4
"KGZ3",2.43692307692308,1960,4
"KHM3",29.5375,1960,4
"KOR3",9.92307692307692,1960,4
"LAO3",25.8985294117647,1960,4
"LBN3",11.4333333333333,1960,4
"LBR3",26.0827586206897,1960,4
"LKA3",27.6363636363636,1960,4
"LSO3",10.3916666666667,1960,4
"MAR3",14.963768115942,1960,4
"MDG3",23.1038461538462,1960,4
"MEX3",22.3384615384615,1960,4
"MLI3",31.7420560747664,1960,4
"MMR3",26.3185185185185,1960,4
"MNG3",1.48,1960,4
"MOZ3",23.8244897959184,1960,4
"MRT3",29.0857142857143,1960,4
"MWI3",21.4961538461538,1960,4
"MYS3",25.803488372093,1960,4
"NAM3",21.1407079646018,1960,4
"NER3",31.7766666666667,1960,4
"NGA3",29.1476394849785,1960,4
"NIC3",26.1074074074074,1960,4
"NPL3",18.3787234042553,1960,4
"OMN3",26.1333333333333,1960,4
"PAK3",22.7407142857143,1960,4
"PAN3",25.67,1960,4
"PER3",17.3220077220077,1960,4
"PHL3",25.9823529411765,1960,4
"PNG3",21.6189189189189,1960,4
"PRY3",22.6448598130841,1960,4
"QAT3",NA,1960,4
"RWA3",19.4125,1960,4
"SAU3",24.3916666666667,1960,4
"SDN3",29.5150793650794,1960,4
"SEN3",29.8714285714286,1960,4
"SLE3",27.3541666666667,1960,4
"SLV3",24.6428571428571,1960,4
"SOM3",27.0608695652174,1960,4
"SUR3",25.8578947368421,1960,4
"SWZ3",19.1,1960,4
"SYR3",15.732,1960,4
"TCD3",32.0067796610169,1960,4
"TGO3",26.9176470588235,1960,4
"THA3",29.8377358490566,1960,4
"TJK3",7.58571428571429,1960,4
"TKM3",14.8942857142857,1960,4
"TTO3",26.25,1960,4
"TUN3",13.885,1960,4
"TUR3",9.33525641025641,1960,4
"TZA3",22.6682835820896,1960,4
"UGA3",22.3372549019608,1960,4
"URY3",17.105,1960,4
"VEN3",25.5148148148148,1960,4
"VNM3",24.0440366972477,1960,4
"YEM3",22.0384615384615,1960,4
"ZAF3",16.424584717608,1960,4
"ZMB3",21.0282700421941,1960,4
"ZWE3",20.9560975609756,1960,4
"AFG4",13.9896,1960,5
"AGO4",19.8257142857143,1960,5
